query_id,cpu_used(%),ram_used(gb),time(ms)
1,12.7,0.61,40.0
2,54.1,0.6,92.0
3,14.3,0.59,25.0
4,47.97,0.72,698.0
5,30.6,0.71,66.0
6,14.3,0.72,42.0
7,40.3,0.75,87.0
8,16.4,0.75,43.0
9,70.3,0.76,115.0
10,27.4,0.77,50.0
11,47.3,0.83,415.0
12,11.3,0.82,26.0
13,46.0,0.83,89.0
14,84.67,0.9,415.0
15,12.7,0.79,30.0
16,16.4,0.8,37.0
17,22.6,0.8,53.0
18,27.0,0.79,72.0
19,18.0,0.76,43.0
20,9.8,0.76,22.0
21,8.1,0.76,14.0
22,65.85,0.76,374.0
23,84.8,0.77,361.0
24,8.1,0.66,10.0
25,11.5,0.67,34.0
26,17.7,0.68,42.0
27,39.7,0.66,91.0
28,81.0,0.69,134.0
29,29.0,0.71,63.0
30,15.9,0.71,45.0
31,30.6,0.73,62.0
32,9.7,0.73,17.0
33,19.4,0.71,40.0
34,22.6,0.71,44.0
35,52.5,0.68,100.0
36,39.7,0.64,131.0
37,6.5,0.64,11.0
38,43.5,0.63,80.0
39,52.4,0.68,70.0
40,7.9,0.68,21.0
41,4.8,0.68,11.0
42,14.1,0.69,25.0
43,30.2,0.7,53.0
44,41.9,0.73,77.0
45,9.7,0.72,28.0
46,34.4,0.71,85.0
47,76.9,0.75,194.0
48,40.0,0.69,81.0
49,25.8,0.68,53.0
50,29.5,0.66,58.0
51,75.75,0.74,414.0
52,12.9,0.77,25.0
53,19.4,0.79,37.0
54,11.3,0.79,23.0
55,14.3,0.8,25.0
56,20.6,0.82,46.0
57,41.9,0.85,80.0
58,14.8,0.85,33.0
59,79.0,0.87,144.0
60,23.0,0.88,48.0
61,14.3,0.88,27.0
62,12.7,0.88,25.0
63,20.6,0.88,38.0
64,69.2,0.88,153.0
65,55.6,0.81,99.0
66,18.8,0.79,42.0
67,86.33,0.91,817.0
68,32.3,0.75,72.0
69,26.2,0.77,52.0
70,33.3,0.78,61.0
71,19.7,0.8,42.0
72,50.0,0.81,137.0
73,21.0,0.82,39.0
74,35.4,0.79,279.0
75,54.0,0.71,120.0
76,25.8,0.69,57.0
77,22.2,0.72,49.0
78,76.9,0.77,241.0
79,32.8,0.77,68.0
80,46.8,0.8,96.0
81,17.5,0.79,55.0
82,12.7,0.8,22.0
83,8.1,0.81,17.0
84,9.7,0.8,26.0
85,22.6,0.8,60.0
86,12.9,0.8,26.0
87,50.0,0.83,90.0
88,65.1,0.83,124.0
89,23.0,0.83,46.0
90,8.1,0.83,13.0
91,17.7,0.83,35.0
92,6.5,0.83,16.0
93,11.3,0.83,23.0
94,12.9,0.83,27.0
95,35.15,0.82,261.0
96,12.9,0.8,23.0
97,49.2,0.8,91.0
98,16.1,0.77,37.0
99,17.7,0.75,39.0
