query_id,cpu_used(%),ram_used(gb),time(ms)
1,15.9,0.75,39.0
2,51.7,0.74,90.0
3,15.9,0.71,25.0
4,41.43,0.77,728.0
5,30.6,0.75,65.0
6,16.1,0.76,43.0
7,39.1,0.78,88.0
8,17.7,0.77,43.0
9,71.4,0.76,115.0
10,24.2,0.75,50.0
11,48.15,0.78,419.0
12,9.7,0.74,23.0
13,46.0,0.71,90.0
14,85.07,0.79,412.5
15,6.5,0.65,30.0
16,17.5,0.63,36.0
17,25.8,0.66,56.0
18,24.2,0.67,72.0
19,19.7,0.7,45.0
20,9.7,0.67,22.0
21,9.7,0.67,14.0
22,70.3,0.68,374.0
23,85.73,0.8,360.0
24,6.6,0.78,10.0
25,14.5,0.79,36.0
26,20.3,0.81,43.0
27,41.3,0.78,90.0
28,79.4,0.79,135.0
29,31.7,0.75,63.0
30,11.3,0.76,45.0
31,28.6,0.76,61.0
32,7.9,0.77,18.0
33,19.4,0.79,39.0
34,19.4,0.8,42.0
35,52.4,0.78,98.0
36,38.7,0.75,130.0
37,6.5,0.74,9.0
38,43.5,0.73,82.0
39,54.8,0.75,65.0
40,8.1,0.75,21.0
41,6.3,0.75,12.0
42,13.3,0.78,25.0
43,33.9,0.78,53.0
44,43.5,0.8,77.0
45,10.9,0.8,29.0
46,32.8,0.8,83.0
47,73.0,0.82,197.0
48,39.3,0.72,78.0
49,25.8,0.73,53.0
50,33.9,0.72,58.0
51,74.6,0.77,407.0
52,12.9,0.8,24.0
53,19.0,0.79,37.0
54,9.7,0.79,22.0
55,12.9,0.79,24.0
56,24.6,0.8,46.0
57,41.3,0.8,85.0
58,16.4,0.78,34.0
59,83.9,0.78,147.0
60,22.2,0.71,48.0
61,11.5,0.69,26.0
62,15.9,0.68,29.0
63,17.7,0.66,34.0
64,67.7,0.7,158.0
65,54.8,0.65,99.0
66,18.0,0.66,43.0
67,87.5,0.85,823.0
68,32.8,0.82,72.0
69,27.0,0.82,53.0
70,35.5,0.8,62.0
71,19.4,0.82,40.0
72,46.8,0.84,140.0
73,21.0,0.84,38.0
74,30.2,0.82,264.0
75,53.2,0.84,118.0
76,29.0,0.86,57.0
77,22.6,0.87,49.0
78,70.8,0.91,236.0
79,33.9,0.92,68.0
80,46.0,0.85,96.0
81,12.9,0.86,54.0
82,12.7,0.86,20.0
83,8.2,0.86,17.0
84,11.3,0.86,26.0
85,25.8,0.86,61.0
86,12.9,0.86,25.0
87,50.8,0.86,90.0
88,66.1,0.86,124.0
89,23.8,0.85,44.0
90,8.1,0.84,12.0
91,19.0,0.83,34.0
92,8.1,0.82,15.0
93,8.1,0.81,22.0
94,9.7,0.8,24.0
95,37.3,0.8,280.0
96,12.7,0.77,20.0
97,45.2,0.8,90.0
98,16.1,0.8,38.0
99,21.3,0.8,44.0
